Gene pos.pvalue pos.fdr neg.pvalue neg.fdr
1 ABCG8 1.11954670423131e-05 3.85621642568563e-05 0.999999995923157 1
2 ADH7 2.78196854441859e-09 1.84802196164949e-08 0.999999999999873 1
3 CABP5 8.3327152955448e-09 5.16628348323778e-08 0.999999999991006 1
4 COPA 1 1 8.37518943086479e-12 5.99148166977251e-11
5 COPB1 0.999999999999996 1 7.55921769624024e-10 4.1353367397079e-09
6 COPS2 0.999996365731419 1 0.00350725954012288 0.00959338638915963
7 COPS4 1 1 3.33213456826797e-11 2.21348939177801e-10
8 COPS6 0.99999994527007 1 0.000207784631667152 0.000623353895001455
9 COPS8 0.997293935713068 1 0.170128313594345 0.367951934052886
10 COPZ1 0.999876727380026 1 0.0319601992941876 0.0724190280577705
11 CRYGB 1.44541308255697e-07 7.63288508065507e-07 0.999999999971833 1
12 CYP7A1 0.00150161186488917 0.00423181525559676 0.999991694100626 1
13 DEFB129 1.7426760035022e-10 1.3505739027142e-09 0.999999999999968 1
14 DMRTB1 0.206103890005818 0.445759576059096 0.99533787933459 1
15 DMRTC2 0.260189168691668 0.549945288371026 0.991207984754675 1
16 FAM71B 0 0 1 1
17 FCRL4 0.00215162855136375 0.00588533691990673 0.9999921307666 1
18 HTR3D 0.00366321957583093 0.00973369773006505 0.999918762691328 1
19 IL1F10 0.751681663492851 1 0.866848049599868 1
20 IL22 0.000334394156692897 0.00107236746801515 0.999999699111058 1
21 KRT25 0.00525071442180269 0.0125209343904526 0.999963901544134 1
22 KRT74 0.0113250541520646 0.0263307509035503 0.999920009289138 1
23 KRT77 3.89242563292314e-07 1.80997791930926e-06 0.999999999965428 1
24 KRT9 0.00430749167731914 0.0106804140764653 0.999981249420703 1
25 LHX5 6.73096725489764e-06 2.40761521040569e-05 0.999999998749198 1
26 LUZP4 3.67031929404682e-07 1.79652470708607e-06 0.999999999714501 1
27 LYZL6 0.745017166635729 1 0.879617988501636 1
28 MAGEB3 0 0 0.999999999999808 1
29 MRGPRD 0.494810915471855 1 0.966694520706465 1
30 NLRP5 0 0 1 1
31 NPHS2 1.59215948059011e-06 6.73049234976726e-06 0.99999999916192 1
32 NPSR1 1.47733259625582e-07 7.63288508065507e-07 0.999999999910776 1
33 NUP133 0.999999999743591 1 4.4610811710255e-06 1.65952219562149e-05
34 NUP205 0.999999990915397 1 5.92134257011434e-05 0.000183561619673545
35 NUP54 0.999999804774314 1 0.000495318299834291 0.00143951880889341
36 NUP93 1 1 0 0
37 NUP98 0.999992898073972 1 0.00567366589116325 0.0138855507336364
38 OC90 0.0415519024718556 0.0920077840448231 0.999507721810101 1
39 OLIG2 2.03828016287488e-06 7.89833563114017e-06 0.999999992941364 1
40 OR12D2 1.69266920291289e-06 6.84427112482168e-06 0.999999999091668 1
41 OR52E8 0 0 1 1
42 OR9Q2 0.000857321050492299 0.00249158930299324 0.999999284418731 1
43 OTUD6A 3.71980705645703e-05 0.00012355073437518 0.999998395749629 1
44 PIWIL3 0.0206056792017193 0.0467397113599974 0.999910674681235 1
45 PLA2G2E 1.11441433858772e-09 7.97234872989678e-09 0.999999999989441 1
46 POLA1 0.999999993343302 1 4.34511934512827e-05 0.000149665221887751
47 POLR2A 0.999999999993429 1 2.58805268882334e-07 1.14613761933605e-06
48 POLR2D 1 1 0 0
49 POLR2F 0.999999999699245 1 4.6993147980734e-06 1.68090875469548e-05
50 POU4F2 0 0 0.999999999999989 1
