Gene pos.pvalue pos.fdr neg.pvalue neg.fdr
1 ABCG8 0 0 0.999999999999999 1
2 ADH7 0.0501741174063819 0.150522352219146 0.999348898427296 1
3 CABP5 0.00572031844881005 0.0177329871913111 0.999988095704872 1
4 COPA 1 1 0 0
5 COPB1 1 1 0 0
6 COPS2 0.999999999987336 1 3.99946487039671e-07 1.69068287703134e-06
7 COPS4 0.999999999999982 1 2.40634168147125e-09 1.31641044927545e-08
8 COPS6 0.999999887608199 1 0.000329118372235926 0.000987355116707778
9 COPS8 0.971085310367211 1 0.396509221554386 0.85756645591995
10 COPZ1 0.999885361295781 1 0.0292785106168864 0.0680725371842608
11 CRYGB 1.71012425220773e-07 9.28540974757623e-07 0.999999999992755 1
12 CYP7A1 1.40899042091469e-05 5.69722213674201e-05 0.999999931662255 1
13 DEFB129 6.56354359751532e-09 4.36006824692089e-08 0.999999999993176 1
14 DMRTB1 0.00254583171065992 0.00816421893418525 0.999989581564649 1
15 DMRTC2 0.333476867371712 0.738413063465933 0.982410413835242 1
16 FAM71B 0 0 1 1
17 FCRL4 0.0545197669017632 0.158448072558249 0.999320403418873 1
18 HTR3D 0 0 0.999999999999835 1
19 IL1F10 0.249560820944977 0.580228908697072 0.990204164678435 1
20 IL22 0.506214670565355 1 0.960368087259054 1
21 KRT25 0.810853584679101 1 0.816838538829983 1
22 KRT74 0.642674866311073 1 0.901254112077943 1
23 KRT77 0.182624239439389 0.43548857097085 0.992264185624035 1
24 KRT9 0.358042093863899 0.774370109984712 0.977361305798793 1
25 LHX5 0.0714973473637359 0.195566273671395 0.99917578610511 1
26 LUZP4 0 0 1 1
27 LYZL6 0.977471298539352 1 0.415843699834222 0.878942365558697
28 MAGEB3 1.61848931701236e-07 9.28540974757623e-07 0.999999999961405 1
29 MRGPRD 0.845560473694009 1 0.772797386183137 1
30 NLRP5 0 0 0.999999999999975 1
31 NPHS2 0.0738921203726637 0.196341919847363 0.999251564150509 1
32 NPSR1 9.61471147142845e-09 5.96112111228564e-08 0.999999999991027 1
33 NUP133 0.999999988418738 1 6.80515367310619e-05 0.000218234238482371
34 NUP205 0.999999991941268 1 5.28858133201915e-05 0.000189168486106839
35 NUP54 0.999999211895908 1 0.00114158212086235 0.00321718597697571
36 NUP93 1 1 0 0
37 NUP98 0.999976941016047 1 0.0115687919022207 0.0283130959712244
38 OC90 3.03682734197341e-05 0.00011767705950147 0.999999178584304 1
39 OLIG2 0 0 0.999999999999965 1
40 OR12D2 5.49863686083452e-05 0.000204549291223044 0.999999870541164 1
41 OR52E8 0 0 1 1
42 OR9Q2 0.000966504174403027 0.00332906993405487 0.999998887198228 1
43 OTUD6A 7.14285407765747e-06 3.01947922373702e-05 0.999999712686279 1
44 PIWIL3 0.0666956592175616 0.187960494158583 0.998755482979303 1
45 PLA2G2E 0.0011333428000605 0.0037643171573438 0.999998547005329 1
46 POLA1 0.999997512044995 1 0.0024254614295719 0.00644479751286247
